               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.045512,            0.080409,          3.2492e-08,             0.51142,             0.30838,             0.28663,            0.082009,            0.046517,             0.13115,          3.2891e-08,            0.008449,            0.008449,            0.008449
                  96,            0.045341,            0.076794,          3.2487e-08,             0.38831,             0.28877,             0.24861,            0.069818,            0.046548,             0.13668,           3.302e-08,           0.0084325,           0.0084325,           0.0084325
                  97,            0.046697,             0.08025,          3.2397e-08,             0.41584,             0.33499,             0.28122,            0.078192,            0.045696,              0.1353,          3.3215e-08,            0.008416,            0.008416,            0.008416
                  98,             0.04693,            0.082413,          3.2199e-08,             0.38295,              0.2656,             0.23412,            0.063771,            0.046672,             0.14444,          3.3206e-08,           0.0083995,           0.0083995,           0.0083995
                  99,            0.045721,             0.08507,          3.1976e-08,             0.34098,             0.31729,             0.25824,            0.077764,            0.045606,             0.14056,          3.3147e-08,            0.008383,            0.008383,            0.008383
                 100,             0.04581,            0.081184,          3.2222e-08,             0.43275,             0.29918,             0.27455,            0.079999,            0.044914,             0.13467,           3.296e-08,           0.0083665,           0.0083665,           0.0083665
                 101,            0.045607,            0.079122,          3.2312e-08,             0.41337,             0.32086,             0.29763,            0.088282,            0.044954,             0.13413,          3.2913e-08,             0.00835,             0.00835,             0.00835
                 102,             0.04544,            0.081959,          3.2504e-08,             0.44509,             0.31907,             0.30152,            0.086275,            0.044178,              0.1324,          3.3314e-08,           0.0083335,           0.0083335,           0.0083335
                 103,            0.044776,            0.074077,          3.2753e-08,             0.39805,             0.32977,             0.28465,             0.08548,            0.044719,             0.13906,          3.3475e-08,            0.008317,            0.008317,            0.008317
                 104,            0.045417,             0.07956,          3.2628e-08,             0.44222,             0.32442,             0.28159,            0.079431,            0.045003,             0.13446,          3.3335e-08,           0.0083005,           0.0083005,           0.0083005
                 105,            0.044478,            0.074633,          3.3068e-08,             0.44356,             0.31373,             0.28719,            0.078531,            0.045376,             0.13814,           3.371e-08,            0.008284,            0.008284,            0.008284
                 106,            0.046741,            0.085234,          3.2556e-08,             0.48604,             0.27629,             0.26828,             0.07796,            0.046243,             0.14757,          3.4076e-08,           0.0082675,           0.0082675,           0.0082675
                 107,            0.046438,            0.082505,          3.2414e-08,              0.5042,             0.29947,             0.28357,            0.088118,             0.04534,             0.14618,           3.364e-08,            0.008251,            0.008251,            0.008251
                 108,            0.045668,            0.078787,           3.238e-08,             0.41236,             0.36542,             0.29478,            0.085461,            0.044446,             0.13493,          3.3138e-08,           0.0082345,           0.0082345,           0.0082345
                 109,            0.044097,            0.072244,          3.2769e-08,             0.44645,              0.3066,             0.28824,            0.083474,            0.045758,             0.13955,          3.3614e-08,            0.008218,            0.008218,            0.008218
                 110,            0.045227,            0.081082,          3.2683e-08,             0.43836,             0.34403,              0.2915,            0.089171,            0.045376,             0.14228,          3.3719e-08,           0.0082015,           0.0082015,           0.0082015
                 111,            0.045133,              0.0789,          3.2762e-08,              0.4255,             0.32442,             0.29628,            0.086269,            0.045092,             0.14724,          3.3645e-08,            0.008185,            0.008185,            0.008185
                 112,            0.045116,            0.080114,          3.2578e-08,             0.37911,             0.27273,             0.23888,             0.07129,            0.047302,             0.15787,          3.4073e-08,           0.0081685,           0.0081685,           0.0081685
                 113,            0.045083,            0.076093,          3.2859e-08,             0.48756,             0.32442,             0.30766,            0.088473,            0.045701,             0.14225,          3.3907e-08,            0.008152,            0.008152,            0.008152
                 114,            0.046031,            0.081818,          3.2737e-08,             0.45798,             0.30303,             0.29529,            0.085832,            0.046512,             0.14943,          3.3992e-08,           0.0081355,           0.0081355,           0.0081355
                 115,            0.044491,             0.07376,          3.2802e-08,             0.42926,             0.32264,             0.31517,            0.092691,            0.046358,             0.14869,          3.4018e-08,            0.008119,            0.008119,            0.008119
                 116,            0.044686,            0.075624,          3.2718e-08,             0.43736,             0.33394,             0.30672,            0.087094,            0.045477,              0.1419,          3.3698e-08,           0.0081025,           0.0081025,           0.0081025
                 117,            0.044724,            0.081206,          3.2817e-08,             0.42769,              0.3369,             0.28867,             0.08905,             0.04517,             0.13737,            3.37e-08,            0.008086,            0.008086,            0.008086
                 118,            0.044694,            0.075707,          3.2742e-08,             0.46172,              0.3272,             0.29217,            0.081574,            0.045185,             0.14111,          3.4022e-08,           0.0080695,           0.0080695,           0.0080695
                 119,             0.04447,            0.076033,          3.2727e-08,              0.4784,             0.30303,             0.29093,            0.085899,            0.045994,             0.14479,          3.3845e-08,            0.008053,            0.008053,            0.008053
                 120,            0.044241,            0.073792,          3.2734e-08,             0.47221,             0.31736,             0.29404,            0.089461,              0.0459,             0.14652,          3.3781e-08,           0.0080365,           0.0080365,           0.0080365
                 121,            0.044374,            0.076664,          3.2577e-08,             0.51975,             0.28877,             0.29277,            0.089988,            0.046481,             0.15248,           3.408e-08,             0.00802,             0.00802,             0.00802
                 122,             0.04404,            0.072557,          3.2781e-08,             0.41231,             0.33333,             0.29235,             0.08998,            0.045596,             0.14511,          3.3818e-08,           0.0080035,           0.0080035,           0.0080035
                 123,            0.044903,            0.072704,          3.2754e-08,             0.42177,             0.31551,             0.29019,            0.088243,            0.046113,             0.14959,          3.4003e-08,            0.007987,            0.007987,            0.007987
                 124,            0.044655,            0.073107,          3.2781e-08,             0.48237,             0.30897,             0.29167,              0.0874,            0.045874,             0.15011,          3.4187e-08,           0.0079705,           0.0079705,           0.0079705
                 125,            0.043736,             0.07533,          3.2702e-08,             0.45915,             0.33333,             0.29006,            0.084083,            0.045948,              0.1499,          3.4071e-08,            0.007954,            0.007954,            0.007954
                 126,            0.044718,            0.075409,          3.2648e-08,             0.49429,             0.32086,             0.29592,            0.082391,            0.047303,             0.15111,          3.4066e-08,           0.0079375,           0.0079375,           0.0079375
                 127,            0.044972,            0.075496,          3.2535e-08,             0.52899,             0.32264,             0.32216,             0.09306,            0.045652,             0.15209,          3.3659e-08,            0.007921,            0.007921,            0.007921
                 128,            0.044027,            0.074852,          3.2567e-08,             0.43774,              0.3262,             0.30134,              0.0919,            0.045359,              0.1481,          3.3503e-08,           0.0079045,           0.0079045,           0.0079045
                 129,            0.044125,            0.072362,          3.2532e-08,             0.52144,              0.2758,             0.28142,            0.081762,            0.046441,             0.15731,           3.412e-08,            0.007888,            0.007888,            0.007888
                 130,            0.044127,            0.075598,          3.2695e-08,             0.51543,             0.34046,             0.31254,            0.085251,            0.046056,             0.15636,          3.4136e-08,           0.0078715,           0.0078715,           0.0078715
                 131,             0.04277,            0.069268,          3.2794e-08,             0.43771,             0.30838,             0.27934,            0.084575,            0.047738,             0.16172,           3.444e-08,            0.007855,            0.007855,            0.007855
                 132,            0.043228,            0.073327,          3.2811e-08,             0.48805,             0.30481,             0.29508,            0.091073,             0.04725,             0.16059,          3.4594e-08,           0.0078385,           0.0078385,           0.0078385
                 133,            0.044994,            0.074277,          3.2917e-08,             0.51625,             0.31729,             0.29761,            0.090154,            0.046053,             0.15387,          3.4076e-08,            0.007822,            0.007822,            0.007822
                 134,            0.043366,            0.067962,           3.274e-08,             0.51104,             0.28699,             0.28458,            0.081795,            0.046842,             0.16078,           3.415e-08,           0.0078055,           0.0078055,           0.0078055
                 135,            0.043896,            0.070777,          3.2595e-08,             0.51103,             0.30125,             0.29291,            0.083924,            0.047007,             0.16397,          3.4112e-08,            0.007789,            0.007789,            0.007789
                 136,            0.044052,            0.074125,          3.2556e-08,             0.47011,             0.33368,             0.30948,            0.091329,            0.045653,             0.15228,          3.3889e-08,           0.0077725,           0.0077725,           0.0077725
                 137,            0.042526,            0.069835,          3.2784e-08,             0.43528,             0.35829,             0.31254,            0.093077,            0.046551,             0.15971,          3.4503e-08,            0.007756,            0.007756,            0.007756
                 138,            0.043662,            0.071886,          3.2819e-08,             0.46211,             0.34225,             0.30354,            0.088799,            0.045541,             0.15346,          3.4123e-08,           0.0077395,           0.0077395,           0.0077395
                 139,            0.043006,            0.071089,          3.2762e-08,             0.50745,             0.29947,               0.294,            0.092903,            0.046978,             0.16098,          3.4306e-08,            0.007723,            0.007723,            0.007723
                 140,            0.042692,            0.069707,            3.26e-08,              0.5031,             0.30838,             0.29889,            0.091373,            0.046544,              0.1611,          3.4206e-08,           0.0077065,           0.0077065,           0.0077065
                 141,            0.042968,             0.07095,          3.2654e-08,             0.45308,             0.32442,              0.2865,            0.087682,            0.047228,             0.16137,          3.4522e-08,             0.00769,             0.00769,             0.00769
                 142,            0.043367,            0.073517,          3.2685e-08,             0.45196,              0.3066,             0.27919,            0.091562,            0.046644,             0.16858,          3.4562e-08,           0.0076735,           0.0076735,           0.0076735
                 143,            0.043074,            0.071139,          3.2636e-08,             0.47319,             0.31551,             0.28218,            0.092001,            0.047156,             0.16006,          3.4229e-08,            0.007657,            0.007657,            0.007657
                 144,            0.044342,            0.072333,          3.2621e-08,             0.52119,             0.32799,             0.29766,            0.096346,            0.046807,             0.16087,           3.425e-08,           0.0076405,           0.0076405,           0.0076405
                 145,            0.043314,             0.07248,          3.2433e-08,             0.45132,             0.34403,             0.27368,            0.083168,             0.04647,             0.15956,          3.3868e-08,            0.007624,            0.007624,            0.007624
                 146,            0.043721,            0.070085,          3.2302e-08,             0.46346,             0.35294,             0.29845,            0.090553,            0.046322,             0.15582,          3.3643e-08,           0.0076075,           0.0076075,           0.0076075
