               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.051608,             0.11379,          3.4833e-08,             0.31917,             0.24819,             0.20178,            0.048952,            0.046257,             0.12338,          3.4512e-08,           0.0091255,           0.0091255,           0.0091255
                  55,            0.052829,             0.11496,          3.5005e-08,             0.29264,             0.25847,             0.19578,            0.050294,            0.046314,             0.12484,          3.6649e-08,            0.009109,            0.009109,            0.009109
                  56,            0.052545,             0.12077,          3.4943e-08,             0.27896,             0.27451,             0.20639,            0.053629,            0.046132,             0.11692,          3.5381e-08,           0.0090925,           0.0090925,           0.0090925
                  57,            0.051295,             0.11237,          3.4747e-08,             0.32787,              0.2826,             0.21989,             0.06154,             0.04577,             0.12394,          3.5843e-08,            0.009076,            0.009076,            0.009076
                  58,            0.052235,             0.11411,          3.5048e-08,             0.28084,              0.2656,             0.18284,            0.042083,            0.045885,             0.11883,          3.4836e-08,           0.0090595,           0.0090595,           0.0090595
                  59,            0.052291,             0.11829,          3.4485e-08,             0.35224,              0.2852,             0.22526,            0.053167,            0.044869,             0.11544,          3.5236e-08,            0.009043,            0.009043,            0.009043
                  60,            0.051997,              0.1193,          3.4601e-08,             0.29977,             0.30125,             0.22172,            0.053448,            0.045022,             0.11674,           3.546e-08,           0.0090265,           0.0090265,           0.0090265
                  61,            0.052331,             0.11574,          3.5042e-08,             0.28897,             0.29768,              0.2261,            0.059412,            0.045032,             0.11945,          3.5052e-08,             0.00901,             0.00901,             0.00901
                  62,            0.052106,             0.11371,          3.5075e-08,             0.33739,             0.29234,             0.22405,            0.056618,            0.045308,             0.12002,          3.5277e-08,           0.0089935,           0.0089935,           0.0089935
                  63,            0.051667,             0.11128,          3.5605e-08,             0.32757,             0.26916,             0.21222,            0.052988,            0.045616,             0.11633,          3.5747e-08,            0.008977,            0.008977,            0.008977
                  64,            0.051437,             0.11575,          3.5436e-08,              0.2892,             0.30171,              0.2219,            0.052674,             0.04559,             0.11656,          3.4974e-08,           0.0089605,           0.0089605,           0.0089605
