               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.022513,            0.018579,          3.1585e-08,             0.77982,             0.76655,             0.79234,             0.43117,            0.020813,            0.016785,          3.1334e-08,            0.009142,            0.009142,            0.009142
                  54,            0.022719,            0.018578,          3.1491e-08,             0.77591,             0.75404,             0.79414,             0.40472,            0.021828,            0.017237,          3.1377e-08,           0.0091255,           0.0091255,           0.0091255
                  55,            0.022472,            0.018501,          3.1474e-08,             0.75906,             0.77389,             0.80494,             0.42284,            0.021348,            0.016998,          3.1354e-08,            0.009109,            0.009109,            0.009109
                  56,            0.022742,            0.018909,          3.1575e-08,             0.82467,             0.72997,             0.81534,             0.43293,            0.021122,              0.0166,          3.1187e-08,           0.0090925,           0.0090925,           0.0090925
                  57,            0.022536,            0.018542,          3.1469e-08,             0.77324,             0.78397,             0.80087,             0.42359,            0.021158,            0.016719,          3.1249e-08,            0.009076,            0.009076,            0.009076
                  58,            0.022214,            0.018836,          3.1465e-08,             0.74219,             0.79617,             0.79343,             0.43161,            0.020696,            0.016863,          3.1285e-08,           0.0090595,           0.0090595,           0.0090595
                  59,            0.022499,            0.018782,          3.1639e-08,             0.79287,             0.75087,              0.8124,             0.42793,            0.020934,            0.016891,          3.1573e-08,            0.009043,            0.009043,            0.009043
                  60,            0.022252,             0.01885,          3.1605e-08,             0.78691,             0.77003,             0.80017,              0.4309,            0.020742,             0.01694,          3.1285e-08,           0.0090265,           0.0090265,           0.0090265
                  61,            0.021975,            0.017991,          3.1612e-08,             0.78923,             0.74739,             0.79298,             0.41985,            0.021476,            0.017329,          3.1165e-08,             0.00901,             0.00901,             0.00901
                  62,             0.02254,            0.018906,          3.1641e-08,             0.79212,             0.75958,             0.79331,             0.43443,            0.020583,            0.017074,           3.132e-08,           0.0089935,           0.0089935,           0.0089935
                  63,            0.022319,            0.018027,          3.1601e-08,             0.76776,             0.80057,              0.8239,             0.44534,            0.020689,            0.016562,           3.133e-08,            0.008977,            0.008977,            0.008977
